序号,视频编码(BV号),视频标题,发布时间,播放量,时长,分区,合集/系列,视频链接
633,BV18F411n7ww,【主义主义】表象界（$-1-4）——本质并不拥有表象，而只是成为表象，黑格尔如何证明神的实存,2022-01-27,30814,26:10,人文历史,,https://www.bilibili.com/video/BV18F411n7ww
634,BV1HL4y1x7eb,【主义主义】现代性（$）——本体论和自然秩序的来源，孤独意志的线性独白,2022-01-28,46776,34:32,人文历史,,https://www.bilibili.com/video/BV1HL4y1x7eb
636,BV1Ha41117Un,【主义主义】复数的物自体（$-1-4-1）——物自体的增殖、寄生和瓦解,2022-01-29,23464,28:47,人文历史,,https://www.bilibili.com/video/BV1Ha41117Un
639,BV1nu411d7s1,【主义主义】表象本身（$-1-4-2）——事物的“一性”出于对非本质具体实存的报复，令争执次第延宕,2022-01-30,17981,35:26,人文历史,,https://www.bilibili.com/video/BV1nu411d7s1
641,BV1534y1y7qf,【主义主义】有法则的世界性（$-1-4-3）——法则性和世界性的发生学机制,2022-01-31,16826,34:04,人文历史,,https://www.bilibili.com/video/BV1534y1y7qf
642,BV1CL4y1W7hR,【主义主义复习课】4-实践,2022-01-31,38785,39:58,人文历史,,https://www.bilibili.com/video/BV1CL4y1W7hR
644,BV1iS4y1y7FL,【主义主义】本质联系（$-1-4-4）——本质论中的联系的辨证法到底是怎样的,2022-02-02,24990,33:33,人文历史,,https://www.bilibili.com/video/BV1iS4y1y7FL
645,BV1KR4y1M7y6,【主义主义】绝对者的绝路（$-2） ——绝对者从单纯的属性走向成熟的自我认知 并最终湮灭为世界,2022-02-02,28272,34:42,人文历史,,https://www.bilibili.com/video/BV1KR4y1M7y6
646,BV1tu411d7zr,【主义主义】绝对者的自我关联（$-2-1）——在黑格尔看来，斯宾诺莎的实体该如何走出自闭,2022-02-03,22807,22:39,人文历史,,https://www.bilibili.com/video/BV1tu411d7zr
648,BV1RZ4y1d7cH,【主义主义复习课】理念等级制（$-1）——从存有论临近本质论的终点的章法,2022-02-05,19440,11:26,人文历史,,https://www.bilibili.com/video/BV1RZ4y1d7cH
649,BV1BS4y1k7WY,【主义主义】模态（$-2-1-1）——黑格尔对斯宾诺莎体系的全面超越，先有模态后实体,2022-02-05,22674,23:42,人文历史,,https://www.bilibili.com/video/BV1BS4y1k7WY
650,BV1zF411J7Yc,【主义主义练习课】解读黑格尔《逻辑学》之现实性（$-2-1）,2022-02-06,23449,58:25,人文历史,,https://www.bilibili.com/video/BV1zF411J7Yc
651,BV1Z3411E7sg,【主义主义练习课】模态（$-2-1-1）——形式现实性之形式可能性：为什么一切都是可能的又都是不可能的,2022-02-07,15002,36:25,人文历史,,https://www.bilibili.com/video/BV1Z3411E7sg
652,BV1Zm4y1o7qs,【主义主义练习课】模态（$-2-1-1） ——到底什么是可能性，可能=自在+应在=同一+他异,2022-02-08,13916,41:44,人文历史,,https://www.bilibili.com/video/BV1Zm4y1o7qs
654,BV1bS4y1G72C,【主义主义】绝对再生产性（$-2-1-2）——绝对者是怎么跨出现实化的第一步的？实体和偶性为什么是一回事？,2022-02-10,17610,42:04,人文历史,,https://www.bilibili.com/video/BV1bS4y1G72C
655,BV1k5411o7QR,【主义主义练习课】实体和偶性的关系总结（$-2-1-2）,2022-02-11,13509,57:58,人文历史,,https://www.bilibili.com/video/BV1k5411o7QR
656,BV1Gr4y1a7J9,【主义主义预习课】从实体和偶性的关系走向形式因果性（从$-2-1-2到$-2-1-3）,2022-02-12,14728,50:57,人文历史,,https://www.bilibili.com/video/BV1Gr4y1a7J9
657,BV1Nu411R7Ye,【主义主义】因果性（$-2-1-3）——为什么无限回溯第一因的思维是恶的无限，形式和内容的认识论区分从何而来？,2022-02-14,27131,48:55,人文历史,,https://www.bilibili.com/video/BV1Nu411R7Ye
659,BV1cq4y1t7TN,【主义主义预习课】何为暴力？力量之表象；怎么得出这一结论？对原因和实体的关系进行探索（从$-2-1-3到$-2-1-4）,2022-02-15,19776,57:29,人文历史,,https://www.bilibili.com/video/BV1cq4y1t7TN
661,BV1Z44y1H75A,【主义主义】相互性（$-2-1-4）——扬弃链式因果性的循环因果性，进而扬弃普遍性和个别性的对立，走向特殊的使命,2022-02-17,16334,34:48,人文历史,,https://www.bilibili.com/video/BV1Z44y1H75A
663,BV1Pq4y1b7FX,【主义主义预习课】绝对者如何从因果性的实体走向概念（从$-2-1-4到$-2-2）:人为什么能够理解这个世界，为什么能够不通过学习而如同回忆一样掌握各种概念,2022-02-18,18913,29:21,人文历史,,https://www.bilibili.com/video/BV1Pq4y1b7FX
664,BV1Cq4y1t7YE,【主义主义】构思（$-2-2）——绝对者意识到自己即将失忆，为了自我拯救而留下各种小纸条提醒自己,2022-02-19,25501,15:34,人文历史,,https://www.bilibili.com/video/BV1Cq4y1t7YE
669,BV12q4y1x72c,【主义主义】概念（$-2-2-1）——绝对者作为施动实体的独一性如何走向概念的可数的单一性,2022-02-23,19421,34:56,人文历史,,https://www.bilibili.com/video/BV12q4y1x72c
675,BV1ri4y1y7bJ,【主义主义预习课】从概念（$-2-2-1）到判断（$-2-2-3）——初步了解何为“判断”,2022-03-01,27076,49:10,人文历史,,https://www.bilibili.com/video/BV1ri4y1y7bJ
892,BV1r14y1s75s,【项目追踪】主义主义网站（临时站点）目前的功能：首批项目内容的简单公示,2022-09-07,29299,17:35,日常,,https://www.bilibili.com/video/BV1r14y1s75s
952,BV1J14y157Er,【回应信件】一位对性化和主义主义有所误解的单亲母亲,2022-10-22,40637,26:41,社科·法律·心理,,https://www.bilibili.com/video/BV1J14y157Er
1135,BV1oh411u7Ak,【工益项目】主义主义工益网站的新功能以及内测情况介绍,2023-04-04,15996,21:21,社科·法律·心理,,https://www.bilibili.com/video/BV1oh411u7Ak
